Task #,Driver,Forklift,Workcenter,Part No,Status,Name,Creation Time,Start Time,End Time,Duration (m:s),Distance
12164,,,Assembly-7,84111-T20-A016-C3-NH900L-HCM,Waiting,Container Move,12/2/22 11:57 AM,,,,
12163,,,Assembly-6,84161-T20-A016-C3-NH900L-HCM,Waiting,Container Move,12/2/22 11:57 AM,,,,
12162,Linde 11,Linde 11,Assembly-2,84181-T20-A010-M1-NH900L-WIP,Completed,Replenishment,12/2/22 11:46 AM,12/2/22 11:48 AM,12/2/22 11:53 AM,04:36,0
12161,Linde 11,Linde 11,Assembly-6,84161-T20-A016-C3-NH900L-HCM,Completed,Container Move,12/2/22 11:43 AM,12/2/22 11:48 AM,12/2/22 11:48 AM,00:01,0
12160,Linde 11,Linde 11,Assembly-7,84111-T20-A016-C3-NH900L-HCM,Completed,Container Move,12/2/22 11:40 AM,12/2/22 11:40 AM,12/2/22 11:48 AM,08:09,0
12159,Linde 11,Linde 11,Assembly-3,84131-T20-A110-M1-NH882L-HCM,Completed,F/G Put Away,12/2/22 11:35 AM,12/2/22 11:37 AM,12/2/22 11:37 AM,00:06,0
12158,Linde 11,Linde 11,Assembly-11,77380-T20-A010-M1-NH900L-HCM,Completed,F/G Put Away,12/2/22 11:29 AM,12/2/22 11:37 AM,12/2/22 11:37 AM,00:01,0
12157,Linde 11,Linde 11,Assembly-16,74111-T20-A004-WIP,Completed,Replenishment,12/2/22 11:26 AM,12/2/22 11:37 AM,12/2/22 11:37 AM,00:01,0
12156,Linde 17,Linde 17,Assembly-11,77380-T20-A010-M1-NH900L-HCM,Completed,Container Move,12/2/22 11:19 AM,12/2/22 11:20 AM,12/2/22 11:20 AM,00:01,0
12155,Linde 17,Linde 17,Assembly-17,74110-T20-A000-MAP,Completed,F/G Put Away,12/2/22 11:13 AM,12/2/22 11:13 AM,12/2/22 11:20 AM,07:10,42
12154,Linde 17,Linde 17,Assembly-11,77380-T20-A010-M1-NH900L-HCM,Completed,Container Move,12/2/22 11:05 AM,12/2/22 11:05 AM,12/2/22 11:05 AM,00:02,0
12153,Linde 11,Linde 11,Assembly-5,84101-T20-A213-22-NH900L-WIP,Completed,Replenishment,12/2/22 11:00 AM,12/2/22 11:05 AM,12/2/22 11:05 AM,00:04,0
12152,Linde 11,Linde 11,Assembly-2,84181-T20-A010-M1-NH900L-HCM,Completed,Container Move,12/2/22 11:00 AM,12/2/22 11:05 AM,12/2/22 11:05 AM,00:01,0
12151,Linde 11,Linde 11,Assembly-6,84161-T20-A016-C3-NH900L-HCM,Completed,Container Move,12/2/22 10:58 AM,12/2/22 11:05 AM,12/2/22 11:05 AM,00:02,0
12150,Linde 17,Linde 17,Assembly-16,74110-T20-A000-HCM,Completed,Container Move,12/2/22 10:54 AM,12/2/22 11:01 AM,12/2/22 11:01 AM,00:01,0
12149,Linde 11,Linde 11,Assembly-7,84111-T20-A016-C3-NH900L-HCM,Completed,Container Move,12/2/22 10:54 AM,12/2/22 11:05 AM,12/2/22 11:05 AM,00:01,0
12148,Linde 11,Linde 11,Assembly-6,84161-T20-A016-C3-NH900L-HCM,Completed,F/G Put Away,12/2/22 10:47 AM,12/2/22 11:05 AM,12/2/22 11:05 AM,00:02,0
12147,Linde 11,Linde 11,Assembly-7,84111-T20-A016-C3-NH900L-HCM,Completed,F/G Put Away,12/2/22 10:45 AM,12/2/22 11:05 AM,12/2/22 11:05 AM,00:01,0
12146,Linde 11,Linde 11,Assembly-5,84101-T20-A210-23-NH882L,Completed,Replenishment,12/2/22 10:45 AM,12/2/22 11:05 AM,12/2/22 11:05 AM,00:01,0
12145,Linde 11,Linde 11,Assembly-4,84151-T20-C010-M1-NH882L-HMI,Completed,F/G Put Away,12/2/22 10:45 AM,12/2/22 11:05 AM,12/2/22 11:05 AM,00:02,0
12144,Linde 11,Linde 11,Assembly-2,84181-T20-A010-M1-NH900L-HCM,Completed,Container Move,12/2/22 10:45 AM,12/2/22 11:05 AM,12/2/22 11:05 AM,00:01,0
12143,Linde 17,Linde 17,Assembly-10,71141-T20-A610-M1-NH696L-WIP,Completed,Replenishment,12/2/22 10:43 AM,12/2/22 10:43 AM,12/2/22 10:44 AM,00:01,0
12142,Linde 11,Linde 11,Assembly-5,84101-T20-A210-M1-NH882L-HCM,Completed,Container Move,12/2/22 10:43 AM,12/2/22 11:04 AM,12/2/22 11:04 AM,00:15,0
12141,Linde 11,Linde 11,Assembly-5,84101-T20-A115-C1-NH882L-WIP,Completed,Replenishment,12/2/22 10:41 AM,12/2/22 11:04 AM,12/2/22 11:04 AM,00:01,0
12140,Linde 17,Linde 17,Assembly-10,71140-T20-A610-M1-NH696L-HCM,Completed,Container Move,12/2/22 10:39 AM,12/2/22 10:39 AM,12/2/22 10:39 AM,00:01,0
12139,Linde 11,Linde 11,Assembly-6,84161-T20-A016-C3-NH900L-HCM,Completed,Container Move,12/2/22 10:39 AM,12/2/22 11:04 AM,12/2/22 11:04 AM,00:01,0
12138,Linde 11,Linde 11,Assembly-6,84161-T20-A012-21-NH900L-WIP,Completed,Replenishment,12/2/22 10:39 AM,12/2/22 11:04 AM,12/2/22 11:04 AM,00:01,0
12137,Linde 11,Linde 11,Assembly-3,84131-T20-A110-M1-NH882L-HCM,Completed,F/G Put Away,12/2/22 10:39 AM,12/2/22 11:04 AM,12/2/22 11:04 AM,00:01,0
12136,Linde 11,Linde 11,Assembly-3,84133-T20-A012-M1-NH882L-WIP,Completed,Replenishment,12/2/22 10:39 AM,12/2/22 11:04 AM,12/2/22 11:04 AM,00:01,0
12135,Linde 17,Linde 17,Assembly-17,74110-T20-A000-MAP,Completed,Container Move,12/2/22 10:37 AM,12/2/22 10:37 AM,12/2/22 10:37 AM,00:01,0
12134,Linde 11,Linde 11,Assembly-7,84111-T20-A016-C3-NH900L-HCM,Completed,Container Move,12/2/22 10:36 AM,12/2/22 11:04 AM,12/2/22 11:04 AM,00:01,0
12133,Linde 11,Linde 11,Assembly-2,84181-T20-A010-M1-NH900L-HCM,Completed,Container Move,12/2/22 10:32 AM,12/2/22 11:04 AM,12/2/22 11:04 AM,00:01,0
12132,Linde 17,Linde 17,Assembly-11,77300-T20-A010-M1-NH900L-HCM,Completed,F/G Put Away,12/2/22 10:27 AM,12/2/22 10:28 AM,12/2/22 10:28 AM,00:02,0
12131,Linde 15,Linde 15,Assembly-5,84101-T20-A210-M1-NH882L-HCM,Completed,Container Move,12/2/22 10:24 AM,12/2/22 11:00 AM,12/2/22 11:02 AM,02:04,0
12130,Linde 17,Linde 17,Assembly-10,71140-T20-A610-M1-NH696L-HCM,Completed,F/G Put Away,12/2/22 10:22 AM,12/2/22 10:28 AM,12/2/22 10:28 AM,00:01,0
12129,Linde 17,Linde 17,Assembly-11,77300-T20-A010-M1-NH900L-WIP,Completed,Replenishment,12/2/22 10:20 AM,12/2/22 10:28 AM,12/2/22 10:28 AM,00:03,0
12128,Linde 15,Linde 15,Assembly-7,84111-T20-A016-C3-NH900L-HCM,Completed,Container Move,12/2/22 10:18 AM,12/2/22 10:50 AM,12/2/22 10:57 AM,06:39,0
12127,Linde 11,Linde 11,Assembly-6,84161-T20-A016-C3-NH900L-HCM,Completed,Container Move,12/2/22 10:18 AM,12/2/22 10:48 AM,12/2/22 11:00 AM,11:55,0
12126,Linde 11,Linde 11,Assembly-7,84111-T20-A012-21-NH900L-WIP,Completed,Replenishment,12/2/22 10:16 AM,12/2/22 10:42 AM,12/2/22 10:48 AM,06:07,0
12125,Linde 11,Linde 11,Assembly-2,84181-T20-A010-M1-NH900L-HCM,Completed,Container Move,12/2/22 10:16 AM,12/2/22 10:41 AM,12/2/22 10:42 AM,00:46,0
12124,Linde 17,Linde 17,Assembly-16,74111-T20-A004-WIP,Completed,Replenishment,12/2/22 10:14 AM,12/2/22 10:15 AM,12/2/22 10:15 AM,00:01,0
12123,Linde 11,Linde 11,Assembly-6,84161-T20-A016-C2-NH900L-WIP,Completed,Replenishment,12/2/22 10:14 AM,12/2/22 10:40 AM,12/2/22 10:40 AM,00:01,0
12122,Linde 17,Linde 17,Assembly-10,71140-T20-A610-M1-NH696L-HCM,Completed,Container Move,12/2/22 10:10 AM,12/2/22 10:10 AM,12/2/22 10:10 AM,00:01,0
12121,Linde 11,Linde 11,Assembly-6,84161-T20-A016-C3-NH900L-HCM,Completed,Container Move,12/2/22 10:10 AM,12/2/22 10:40 AM,12/2/22 10:40 AM,00:01,0
12120,Linde 11,Linde 11,Assembly-1,84500-T20-A010-M1-NH900L-HCM,Completed,F/G Put Away,12/2/22 10:09 AM,12/2/22 10:40 AM,12/2/22 10:40 AM,00:04,0
